"","Escolaridade_pai","Escolaridade_mãe","Renda","Auxílio","Escola","Dificuldade"
"3794","1","3","2","2","2","0"
"4944","3","3","3","2","2","0"
"698","1","1","1","1","1","1"
"3916","2","2","2","2","1","1"
"3005","1","3","2","2","2","1"
"980","3","2","1","2","1","1"
"2792","2","2","1","2","1","0"
"687","1","1","1","2","2","1"
"2229","1","2","2","2","1","1"
"638","2","2","2","2","1","1"
"196","3","3","2","2","2","1"
"3223","1","1","1","2","1","0"
"4889","1","1","1","2","1","0"
"4975","1","1","1","1","1","1"
"5102","1","1","1","2","1","1"
"5460","1","1","1","2","1","1"
"1875","1","2","3","2","1","1"
"1697","2","1","1","2","1","0"
"3824","3","3","3","2","1","1"
"3682","3","3","2","2","2","0"
"4759","1","2","2","2","2","1"
"1384","1","1","3","2","2","0"
"882","2","2","2","2","2","0"
"1583","3","3","3","2","1","0"
"3165","1","3","2","2","1","1"
"5257","1","3","2","2","1","1"
"4302","3","3","1","2","1","1"
"1280","2","3","1","2","2","1"
"4111","2","2","2","1","1","0"
"348","2","2","3","2","1","1"
"807","1","2","1","2","1","0"
"5078","3","2","3","2","2","1"
"4057","2","3","1","2","1","1"
"4582","2","2","2","2","1","1"
"4008","1","2","1","2","1","0"
"608","2","2","3","2","1","1"
"2832","3","3","3","2","2","0"
"2806","3","3","3","2","2","0"
"2650","3","2","2","2","2","0"
"242","1","3","3","2","2","1"
"640","3","3","3","2","2","1"
"874","2","2","3","2","1","1"
"981","2","3","2","2","1","1"
"506","2","2","2","2","2","1"
"1915","2","2","3","1","1","0"
"3538","1","3","2","2","1","1"
"376","2","1","2","2","2","0"
"5440","1","1","2","2","1","0"
"207","2","1","1","2","1","0"
"3534","3","2","2","2","1","1"
"1472","3","2","2","2","2","1"
"3140","1","1","1","1","1","1"
"3094","2","3","3","2","2","1"
"4553","3","2","1","1","1","1"
"5495","1","1","2","2","1","1"
"2108","1","2","3","2","1","1"
"33","2","2","3","2","1","1"
"396","2","3","2","2","1","0"
"1387","2","2","3","2","1","1"
"4034","1","1","2","2","1","1"
"2081","3","3","3","2","2","0"
"2878","1","2","2","2","1","1"
"4254","2","3","2","2","2","1"
"4285","1","1","1","2","1","1"
"525","1","1","1","2","1","1"
"1948","1","1","2","2","1","0"
"4693","3","2","2","2","2","0"
"2798","1","1","1","2","1","1"
"1723","2","2","2","2","1","1"
"3101","1","1","1","1","1","1"
"1789","3","3","2","2","1","1"
"2172","1","1","2","2","1","1"
"1725","1","1","2","2","1","1"
"4845","2","2","1","2","1","0"
"3402","3","3","2","2","1","0"
"4544","2","3","1","2","1","1"
"693","2","2","3","2","1","0"
"4811","2","2","3","2","1","0"
"5175","2","2","2","2","1","1"
"2640","2","1","1","2","1","1"
"3479","2","3","1","2","2","0"
"3042","2","3","2","2","2","0"
"5091","1","1","1","2","1","1"
"4878","2","1","2","2","2","1"
"3968","2","3","2","2","2","1"
"1263","2","3","1","2","2","1"
"1150","3","2","3","2","1","1"
"1260","3","3","2","2","2","1"
"1113","3","3","3","2","2","0"
"3562","1","2","1","1","1","1"
"5181","1","1","1","2","1","0"
"3856","3","3","3","2","2","1"
"2292","2","2","1","2","1","1"
"3703","2","2","2","1","1","1"
"280","3","3","2","2","2","1"
"3283","2","2","1","2","2","1"
"1312","2","3","2","2","2","0"
"2550","1","2","2","2","1","1"
"104","3","2","3","2","2","1"
"2414","1","2","1","1","2","0"
"560","3","3","2","2","1","0"
"5355","1","1","2","1","1","1"
"4559","2","3","2","1","2","1"
"4467","2","2","2","2","2","1"
"5339","1","2","1","2","1","1"
"4862","2","2","2","1","1","1"
